session,bash-count,shell-count,exit-count,help-count,passwd-count,chpass-count,usradd-count,sh-count,bslash-count,fslash-count,perl-count,python-count,chmod-count,sudo-count,rm-count,history-count,cat-count,uname-count,wc-count,crontab-count,w-count,ps-count,free-count,lscpu-count,nproc-count,uptime-count,wget-count,tftp-count,scp-count,ping-count,kill-count,reboot-count,r1-count,r2-count,r3-count,rcd1-size,rcd2_size,mlen-count,url_count,prot,src,ssh_client,duration,rcd_size,continet,cntry,regioin-code,city-name,lat,long,region-code,target
9271,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,5,8,5,31,0,0,1,1.0,1.205137014,10,2,21,53,52,30.2642,59.8944,53,1
8587,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,5,1,31,0,0,0,0.0,1.209005833,8,2,21,53,52,30.2642,59.8944,53,0
9355,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,6,4,31,0,0,0,0.0,0.899682999,2,2,13,7,12,-8.95,51.9,7,0
4305,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,7,2,31,0,0,2,2.0,2.607116938,4,2,13,7,12,-8.95,51.9,7,2
7187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,3,34,0,0,1,1.0,7372.789361,4,2,13,7,12,-8.95,51.9,7,1
10146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2,5,32,0,0,0,0.0,33.70760083,1,2,13,7,12,-8.95,51.9,7,0
8660,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2,3,2,31,0,0,2,2.0,1.477465868,8,2,13,7,12,-8.95,51.9,7,2
3792,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,1,7,1,31,0,0,2,2.0,0.913748026,9,2,13,7,12,-8.95,51.9,7,2
2118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,9,3,31,0,0,2,2.0,0.882064104,3,2,13,7,12,-8.95,51.9,7,2
7560,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,3,4,34,0,0,0,0.0,1151.454806,6,2,21,53,52,30.2642,59.8944,53,0
4724,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,32,0,0,2,2.0,13.96496201,2,2,13,7,12,-8.95,51.9,7,2
6193,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,31,0,0,1,1.0,0.912643909,6,2,21,53,52,30.2642,59.8944,53,1
